
Nom de l'entreprise : 
NPA : 
Adresse : 
Ville : 
Pays : 


Heure : 16:28:44
Date : 15.12.2015

NUMÉRO DE PIÈCE;DOSSIER;GROUPE;POSITION;DÉPARTEMENT;STATUT;QTE;DESCRIPTION;NORME;UTILISATION;SITUATION;MATIÈRE;LONGUEUR;LARGEUR;EPAISSEUR;MASSE;SURFACE;TRAITEMENT;COULEUR;NIVEAU;QUANTITÉ

Esquisse S10 - Façade;;;;;;1;;;;;;;;;;;;;0;1
10-SC Bas-003;;;;;;4;;;;;;;;;;;;;0;4
  Esquisse 10-SC Bas-003;;;;;;1;;;;;;;;;;;;;1;4
  10-P-2100;10;Pièce;-;Tôlerie;Chantier;1;Tôle acier 3mm;-;-;-;Acier;197.05;180;3;0.83;72743.43;Peint Antirouille;Zimo Z1 60my;1;4
    ;;;;;;-;Sheet;;;;;;;;0.83;;;;-1;
  10-P-8000;10;Pièce;-;Visserie;Chantier;2;HSA M12x100;-;-;-;Acier;0;0;0;0;0;Zingué bleu;-;1;8
10-SC Bas-000;;;;;;21;;;;;;;;;;;;;0;21
  Esquisse 10-SC Bas-000;;;;;;1;;;;;;;;;;;;;1;21
  10-P-2100;10;Pièce;-;Tôlerie;Chantier;1;Tôle acier 3mm;-;-;-;Acier;197.05;180;3;0.83;72743.43;Peint Antirouille;Zimo Z1 60my;1;21
    ;;;;;;-;Sheet;;;;;;;;0.83;;;;-1;
  10-P-2101;10;Pièce;-;Tôlerie;Chantier;1;Tôle acier 4mm;-;-;-;Acier;400;355.98;4;3.55;232099.37;Peint Antirouille;Zimo Z1 60my;1;21
    ;;;;;;-;Sheet;;;;;;;;3.55;;;;-1;
  10-P-2102;10;Pièce;-;Tôlerie;Chantier;1;Tôle acier 4mm;-;-;-;Acier;200.99;173.99;4;0.86;57924.39;Peint Antirouille;Zimo Z1 60my;1;21
    ;;;;;;-;Sheet;;;;;;;;0.86;;;;-1;
  10-P-2103;10;Pièce;-;Tôlerie;Chantier;1;Tôle acier 4mm;-;-;-;Acier;200.99;173.99;4;0.86;57924.39;Peint Antirouille;Zimo Z1 60my;1;21
    ;;;;;;-;Sheet;;;;;;;;0.86;;;;-1;
  10-M12x30 Hexa-00;;;;;;2;;;;;;;;;;;;;1;42
    10-P-8010;10;Pièce;-;Visserie;Chantier;1;Vis Hexa M12x30;DIN 933;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;2;42
    10-P-8020;10;Visserie;-;Visserie;Chantier;2;Rondelle M12;DIN 125A;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;2;84
    10-P-8030;10;Visserie;-;Visserie;Chantier;1;Ecrou M12;DIN 934;-;-;Inox Brut 2B;0;0;0;0;0;Brut;-;2;42
  10-P-8000;10;Pièce;-;Visserie;Chantier;4;HSA M12x100;-;-;-;Acier;0;0;0;0;0;Zingué bleu;-;1;84
10-SC Bas-001;;;;;;4;;;;;;;;;;;;;0;4
